series_id,timestamp,value
series_0000,2023-03-27,42.816483
series_0000,2023-03-28,43.237194
series_0000,2023-03-29,43.935184
series_0000,2023-03-30,44.049919
series_0000,2023-03-31,44.833965
series_0000,2023-04-03,44.661861
series_0000,2023-04-04,44.069046
series_0000,2023-04-05,43.763073
series_0000,2023-04-06,43.849129
series_0000,2023-04-10,44.48019
series_0000,2023-04-11,45.130379
series_0000,2023-04-12,44.862648
series_0000,2023-04-13,45.22599
series_0000,2023-04-14,47.38689
series_0000,2023-04-17,47.511192
series_0000,2023-04-18,47.884094
series_0000,2023-04-19,48.19006
series_0000,2023-04-20,47.233913
series_0000,2023-04-21,46.880135
series_0000,2023-04-24,46.880135
series_0000,2023-04-25,45.799683
series_0000,2023-04-26,44.805283
series_0000,2023-04-27,44.967827
series_0000,2023-04-28,45.499481
series_0000,2023-05-01,45.673473
series_0000,2023-05-02,44.465179
series_0000,2023-05-03,44.146191
series_0000,2023-05-04,43.401886
series_0000,2023-05-05,44.774506
series_0000,2023-05-08,44.813168
series_0000,2023-05-09,44.967831
series_0000,2023-05-10,44.822834
series_0000,2023-05-11,44.494179
series_0000,2023-05-12,43.933533
series_0000,2023-05-15,44.513512
series_0000,2023-05-16,43.769203
series_0000,2023-05-17,45.509148
series_0000,2023-05-18,44.842167
series_0000,2023-05-19,44.184853
series_0000,2023-05-22,44.262188
series_0000,2023-05-23,44.378181
series_0000,2023-05-24,43.005566
series_0000,2023-05-25,42.754238
series_0000,2023-05-26,43.111893
series_0000,2023-05-30,43.208557
series_0000,2023-05-31,42.841236
series_0000,2023-06-01,43.343884
series_0000,2023-06-02,44.774506
series_0000,2023-06-05,44.697174
series_0000,2023-06-06,45.644478
series_0000,2023-06-07,46.408112
series_0000,2023-06-08,46.495113
series_0000,2023-06-09,46.688438
series_0000,2023-06-12,46.833435
series_0000,2023-06-13,47.065426
series_0000,2023-06-14,46.630444
series_0000,2023-06-15,46.939762
series_0000,2023-06-16,46.582108
series_0000,2023-06-20,46.021458
series_0000,2023-06-21,45.828133
series_0000,2023-06-22,45.074162
series_0000,2023-06-23,44.484512
series_0000,2023-06-26,44.697174
series_0000,2023-06-27,44.851837
series_0000,2023-06-28,44.687508
series_0000,2023-06-29,44.745506
series_0000,2023-06-30,44.503849
series_0000,2023-07-03,45.180492
series_0000,2023-07-05,45.238487
series_0000,2023-07-06,43.865868
series_0000,2023-07-07,44.21386
series_0000,2023-07-10,44.146191
series_0000,2023-07-11,44.977497
series_0000,2023-07-12,45.799137
series_0000,2023-07-13,46.089127
series_0000,2023-07-14,44.223522
series_0000,2023-07-17,44.716499
series_0000,2023-07-18,45.451149
series_0000,2023-07-19,45.934467
series_0000,2023-07-20,45.828133
series_0000,2023-07-21,45.480148
series_0000,2023-07-24,46.06979
series_0000,2023-07-25,45.518814
series_0000,2023-07-26,45.905468
series_0000,2023-07-27,46.282452
series_0000,2023-07-28,45.828133
series_0000,2023-07-31,46.06979
series_0000,2023-08-01,45.499481
series_0000,2023-08-02,44.764835
series_0000,2023-08-03,44.668171
series_0000,2023-08-04,44.697506
series_0000,2023-08-07,44.81485
series_0000,2023-08-08,44.159691
series_0000,2023-08-09,43.455639
series_0000,2023-08-10,43.357857
series_0000,2023-08-11,43.58276
series_0000,2023-08-14,43.123169
series_0000,2023-08-15,42.25288
series_0000,2023-08-16,41.695511
series_0000,2023-08-17,41.519493
series_0000,2023-08-18,41.314148
series_0000,2023-08-21,41.138134
series_0000,2023-08-22,40.111393
series_0000,2023-08-23,40.170067
series_0000,2023-08-24,40.170067
series_0000,2023-08-25,40.326523
series_0000,2023-08-28,40.404747
series_0000,2023-08-29,40.795891
series_0000,2023-08-30,40.45364
series_0000,2023-08-31,40.375416
series_0000,2023-09-01,40.66877
series_0000,2023-09-05,40.443863
series_0000,2023-09-06,40.45364
series_0000,2023-09-07,39.827816
series_0000,2023-09-08,39.690918
series_0000,2023-09-11,39.690918
series_0000,2023-09-12,40.756775
series_0000,2023-09-13,41.431488
series_0000,2023-09-14,42.184437
series_0000,2023-09-15,41.763958
series_0000,2023-09-18,41.695511
series_0000,2023-09-19,41.734623
series_0000,2023-09-20,41.363041
series_0000,2023-09-21,40.786106
series_0000,2023-09-22,40.013607
series_0000,2023-09-25,40.111393
